México,Políticas Institucionales de la Universidad Autónoma del Estado de Mexico (UAMEX),"La UAMEX tiene su propia política institucional de acceso abierto. Esta tiene por objeto regular el acceso abierto a todo tipo de investigación, materiales educativos, académicos, científicos, tecnológicos, de innovación y culturales, financiados total o parcialmente con recursos públicos o que hayan utilizado infraestructura pública en su realización, en la Universidad Autónoma del Estado de México.",https://hemeroteca.uaemex.mx/plugins/themes/bootstrap3/Acceso_Abierto.pdf,rectoria@uaemex.mx,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,,
México,LA Referencia,"País socio del Proyecto LA Referencia, ha generado iniciativas nacionales en el tema de Repositorios y Acceso Abierto. Es signatario de los principales acuerdos de LA Referencia",https://www.lareferencia.info/es/nodos/mexico,alinavn@uaslp.mx,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1,,
Perú,Participación de Perú en SciELO y Evaluación de Revistas,Perú lidera el Comité SciELO Perú y está proponiendo aumentar el puntaje de calificación para investigadores Renacyt en revistas que forman parte de SciELO. También se menciona la integración de 282 portales de revistas.,http://www.scielo.org.pe/,soporte.cti@concytec.gob.pe,1-Conocimiento científico abierto,Producción científica,null,null,null,null,null,null,null,null,null,null,null,null,null,4-Infraestructuras de la ciencia abierta,Virtuales,null,5-DIMENSIONES NO UNESCO,Evaluación abierta de la Ciencia,null,null,null,null,null,7-OBJETIVOS UNESCO,Crear un entorno normativo propicio para la ciencia abierta,null,null,Fomentar una cultura de la ciencia abierta y armonizar los incentivos en favor de la ciencia abierta,null,Otros,1,,
Perú,Sistema de Currículums CTI Vitae,"Sistema que almacena hojas de vida autorreferenciadas. A los usuarios inscritos se les permite participar en los fondos concursables del Concytec, a tráves del Fondecyt y, acceder a bases de datos bibliográficas, redes especializadas y revistas científicas a texto completo.",https://ctivitae.concytec.gob.pe/appDirectorioCTI/DirectorioCTI.do?tipo=registrousuario,dina@concytec.gob.pe,1-Conocimiento científico abierto,Producción científica,null,Recursos Educativos Abiertos,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5-DIMENSIONES NO UNESCO,Evaluación abierta de la Ciencia,null,null,null,null,null,7-OBJETIVOS UNESCO,null,null,"Invertir en recursos humanos, formación, educación, alfabetización digital y desarrollo de capacidades para la ciencia abierta",null,null,Otros,1,,
Perú,PerúCRIS,"Busca establecer, desarrollar y operar la Red Nacional de Información en Ciencia, Tecnología e Innovación Tecnológica (CTI), a fin de consolidar y gestionar la información científica y académica de todo el Perú, generar estadísticas para apoyar la toma de decisiones a nivel institucional, regional, sectorial y nacional; así como visibilizar globalmente las actividades, capacidades y producción científica de los investigadores peruanos.",https://www.cepal.org/es/notas/perucris-infraestructura-esencial-desarrollo-la-ciencia-abierta,perucris@concytec.gob.pe,1-Conocimiento científico abierto,Producción científica,null,null,null,null,null,null,null,null,null,null,null,null,null,4-Infraestructuras de la ciencia abierta,Virtuales,null,5-DIMENSIONES NO UNESCO,Evaluación abierta de la Ciencia,null,null,null,null,null,7-OBJETIVOS UNESCO,null,Invertir en infraestructuras y servicios de ciencia abierta,null,Fomentar una cultura de la ciencia abierta y armonizar los incentivos en favor de la ciencia abierta,null,Otros,1,,
Perú,Actualizaciones y Evaluaciones en Repositorios,"Se han realizado actualizaciones en la directiva del Concytec relacionadas con repositorios institucionales para mejorar la calidad de los contenidos. Además, se trabaja en la evaluación de repositorios institucionales utilizando la plataforma DPyx y criterios que incluyen visibilidad, aspectos legales, metadatos, interoperabilidad, estadísticas, seguridad, autenticidad e integridad de los datos. Sesiones de soporte a repositorios se han generado para fortalecer su contenido.",https://repositorio.concytec.gob.pe/,repositorio@concytec.gob.pe,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4-Infraestructuras de la ciencia abierta,Virtuales,null,5-DIMENSIONES NO UNESCO,Evaluación abierta de la Ciencia,null,null,null,null,null,7-OBJETIVOS UNESCO,Crear un entorno normativo propicio para la ciencia abierta,Invertir en infraestructuras y servicios de ciencia abierta,null,null,null,Otros,1,,
Perú,Red Latinoamericana de Evaluación por Pares (REDLARP),"Perú participó en la Reunión de Ministros de Ciencia y Tecnología en 2022, donde se conformó la Red Latinoamericana de Evaluación por Pares. Esta red permite a los países de la CELAC compartir conocimientos de I+D y experiencias en la evaluación de proyectos de investigación, incluyendo bases de datos de evaluadores y documentos técnicos.",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5-DIMENSIONES NO UNESCO,Evaluación abierta de la Ciencia,null,null,null,null,null,7-OBJETIVOS UNESCO,null,null,null,null,"Promover la cooperación internacional y multipartita en el contexto de la ciencia abierta y con miras a reducir las brechas digital, tecnológica y de conocimientos.",Otros,1,,
Perú,Código de Integridad Científica,"El cógido de integridad científica establece normas de conducta, infracciones y sanciones para toda persona natural o jurídica que realice investigación científica, desarrollo tecnológico y/o innovación tecnológica en el territorio nacional.",https://portal.concytec.gob.pe/images/publicaciones/Codigo-integridad-cientifica.pdf,comunicacion@concytec.gob.pe,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,6-Cuerpos Normativos,Nacionales,null,7-OBJETIVOS UNESCO,Crear un entorno normativo propicio para la ciencia abierta,null,null,null,null,null,1,,
Perú,LA Referencia,"País socio del Proyecto LA-Referencia, ha generado iniciativas nacionales en el tema de Repositorios y Acceso Abierto, entre los que se destacan: el uso de repositorios registrados en OpenDOAR, repositorios en el sector público, repositorios de datos. Es signatario de los principales acuerdos de LA Referencia",https://www.lareferencia.info/es/nodos/peru,alicia@concytec.gob.pe,1-Conocimiento científico abierto,Producción científica,null,null,null,null,null,null,null,null,null,null,null,null,null,4-Infraestructuras de la ciencia abierta,Virtuales,null,null,null,null,null,null,null,null,7-OBJETIVOS UNESCO,null,Invertir en infraestructuras y servicios de ciencia abierta,null,null,"Promover la cooperación internacional y multipartita en el contexto de la ciencia abierta y con miras a reducir las brechas digital, tecnológica y de conocimientos.",null,1,,
Perú,Ley Nº 30035,"Establece el marco normativo del Repositorio Nacional Digital de Ciencia, Tecnología e Innovación de Acceso Abierto",https://portal.concytec.gob.pe/images/stories/images2013/portal/areas-institucion/dsic/ley-30035.pdf,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,6-Cuerpos Normativos,Nacionales,null,7-OBJETIVOS UNESCO,Crear un entorno normativo propicio para la ciencia abierta,null,null,null,null,null,1,,
Uruguay,Reglamento de Acceso Abierto de la Agencia Nacional de Investigación e Innovación,"En Uruguay, se están empezando a ver los resultados del reglamento de Acceso Abierto de la Agencia Nacional de Investigación e Innovación (ANII). Aunque Uruguay no tiene una política nacional de acceso abierto, tanto ANII como la Universidad de la República (UdelaR) tienen mandatos específicos relacionados con las publicaciones financiadas con fondos públicos. ANII publicó en 2019 su reglamento de Acceso Abierto, que establece la obligación de los beneficiarios de ayudas de depositar sus publicaciones científicas en acceso abierto en el repositorio de su institución o la institución responsable del proyecto. El repositorio debe formar parte del agregador nacional de repositorios de acceso abierto, SILO.",https://www.anii.org.uy/institucional/documentos-de-interes/30/reglamento-de-acceso-abierto/,anii@anii.org.uy,1-Conocimiento científico abierto,Producción científica,Datos abiertos de investigación,null,null,null,null,null,null,null,null,null,null,null,null,4-Infraestructuras de la ciencia abierta,Virtuales,null,5-DIMENSIONES NO UNESCO,null,null,Investigación abierta y reproducible,6-Cuerpos Normativos,null,Institucionales,7-OBJETIVOS UNESCO,Crear un entorno normativo propicio para la ciencia abierta,null,null,Fomentar una cultura de la ciencia abierta y armonizar los incentivos en favor de la ciencia abierta,null,Otros,1,,
Uruguay,ANII como impulsora de Acceso Abierto en Uruguay,"ANII desempeña un papel clave en la promoción del Acceso Abierto en Uruguay. Actúa como nodo nacional de LA Referencia y apoya a las instituciones para crear sus propios repositorios. ANII también obliga a los beneficiarios de los fondos de investigación a que sus publicaciones estén en algún repositorio del sistema. La agencia ha logrado que las principales instituciones de investigación tengan sus repositorios, en algunos casos a través de infraestructura proporcionada por ANII.",https://www.anii.org.uy/,anii@anii.org.uy,1-Conocimiento científico abierto,Producción científica,Datos abiertos de investigación,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7-OBJETIVOS UNESCO,null,Invertir en infraestructuras y servicios de ciencia abierta,null,null,null,null,1,,
Uruguay,Repositorio Nacional de Datos de Investigación en Uruguay,"ANII está trabajando en un proyecto de Repositorio Nacional de Datos de Investigación en Uruguay. Aunque no serán obligatorios como las publicaciones, se ofrecerá capacitación a bibliotecarios, data stewards e investigadores, así como incentivos económicos para quienes presenten planes de datos y publiquen los datos. También se planea establecer un repositorio de datos a nivel nacional.",https://www.anii.org.uy/noticias/253/repositorios-digitales-la-apuesta-de-anii-para-impulsar-la-ciencia-abierta/,anii@anii.org.uy,1-Conocimiento científico abierto,Producción científica,Datos abiertos de investigación,null,null,null,2-Participación abierta de los agentes sociales ,null,Financiación Colectiva,null,null,null,null,null,null,4-Infraestructuras de la ciencia abierta,Virtuales,null,5-DIMENSIONES NO UNESCO,null,Innovación Abierta,null,null,null,null,7-OBJETIVOS UNESCO,null,null,"Invertir en recursos humanos, formación, educación, alfabetización digital y desarrollo de capacidades para la ciencia abierta",null,null,Otros,1,,
Uruguay,Interoperabilidad y colaboración,"ANII busca niveles básicos de interoperabilidad con otros sistemas, como CVUY, un sistema nacional de currículos normalizados. También están interesados en trabajar en la certificación de repositorios y en la preservación de los mismos. ANII busca integrar más allá de las publicaciones, incluyendo Policy Papers, productos tecnológicos y otros documentos científicos.",https://www.anii.org.uy/noticias/76/cvuy-se-renueva/,anii@anii.org.uy,1-Conocimiento científico abierto,null,Datos abiertos de investigación,null,null,null,null,null,null,null,null,null,null,null,null,4-Infraestructuras de la ciencia abierta,Virtuales,null,5-DIMENSIONES NO UNESCO,null,Innovación Abierta,null,null,null,null,7-OBJETIVOS UNESCO,null,null,null,Fomentar una cultura de la ciencia abierta y armonizar los incentivos en favor de la ciencia abierta,"Promover la cooperación internacional y multipartita en el contexto de la ciencia abierta y con miras a reducir las brechas digital, tecnológica y de conocimientos.",Otros,1,,
Uruguay,Rol de Uruguay en Mercosur y Plan Estratégico de Ciencia y Tecnología,"Uruguay ostenta la presidencia pro tempore del Mercosur y está involucrado en la promoción de la Ciencia Abierta en la región. Se está trabajando en un Plan Estratégico de Ciencia y Tecnología que incluirá un apartado de Ciencia Abierta. Durante el 2022, se llevaron a cabo diversas instancias de difusión para impulsar el tema de la Ciencia Abierta en la comunidad científica uruguaya.",https://www.gub.uy/ministerio-educacion-cultura/comunicacion/noticias/estrategia-ciencia-abierta-para-mercosur,comunicacion@presidencia.gub.uy,1-Conocimiento científico abierto,Producción científica,null,null,null,null,2-Participación abierta de los agentes sociales ,Ciencia Ciudadana,null,Producción Colectiva,null,null,null,null,null,null,null,null,5-DIMENSIONES NO UNESCO,null,Innovación Abierta,null,null,null,null,7-OBJETIVOS UNESCO,null,null,null,null,"Promover la cooperación internacional y multipartita en el contexto de la ciencia abierta y con miras a reducir las brechas digital, tecnológica y de conocimientos.",Otros,1,,
Uruguay,LA Referencia,"País socio del Proyecto LA-Referencia, ha generado iniciativas nacionales en el tema de Repositorios y Acceso Abierto.",https://www.lareferencia.info/es/nodos/uruguay,anii@anii.org.uy,1-Conocimiento científico abierto,Producción científica,Datos abiertos de investigación,Recursos Educativos Abiertos,null,null,null,null,null,null,null,null,null,null,null,4-Infraestructuras de la ciencia abierta,Virtuales,null,null,null,null,null,null,null,null,7-OBJETIVOS UNESCO,null,Invertir en infraestructuras y servicios de ciencia abierta,null,null,"Promover la cooperación internacional y multipartita en el contexto de la ciencia abierta y con miras a reducir las brechas digital, tecnológica y de conocimientos.",null,1,,
Panamá,Políticas de Acceso Abierto en Universidades,"Tres universidades panameñas implementan políticas de Acceso Abierto, basadas en lineamientos que estableció la Universidad Tecnológica de Panamá.",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,6-Cuerpos Normativos,null,Institucionales,7-OBJETIVOS UNESCO,null,null,null,Fomentar una cultura de la ciencia abierta y armonizar los incentivos en favor de la ciencia abierta,null,nul,1,,
Panamá,Nodo Nacional y Repositorios,"El nodo nacional se constituyó en 2019 con ayuda de LA Referencia, pasando de no tener repositorios a 10 repositorios. La Universidad Tecnológica desarrolló un sistema para implementar el DSPACE 6.3. El desafío es tratar el tema de la actualización de las versiones de DSPACE y directrices de metadatos.",null,null,1-Conocimiento científico abierto,null,Datos abiertos de investigación,null,null,null,null,null,null,null,null,null,null,null,null,4-Infraestructuras de la ciencia abierta,Virtuales,null,5-DIMENSIONES NO UNESCO,null,Innovación Abierta,null,null,null,null,7-OBJETIVOS UNESCO,null,Invertir en infraestructuras y servicios de ciencia abierta,"Invertir en recursos humanos, formación, educación, alfabetización digital y desarrollo de capacidades para la ciencia abierta",null,null,null,1,,
Panamá,Repositorio Nacional de Datos,"Se ha empezado a implementar un repositorio nacional de datos con Dataverse, trabajando en un piloto para poder escalar en el futuro. Se busca documentar las experiencias de los países con Dataverse.",https://www.senacyt.gob.pa/wp-content/uploads/2021/06/VHarris-Costa-Rica.pdf,info@senacyt.gob.pa,1-Conocimiento científico abierto,null,Datos abiertos de investigación,Recursos Educativos Abiertos,null,null,null,null,null,null,null,null,null,null,null,4-Infraestructuras de la ciencia abierta,Virtuales,null,5-DIMENSIONES NO UNESCO,null,Innovación Abierta,Investigación abierta y reproducible,null,null,null,7-OBJETIVOS UNESCO,null,Invertir en infraestructuras y servicios de ciencia abierta,null,null,null,null,1,,
Panamá,Cooperación con la Universidad de Panamá,Con la Universidad de Panamá (UP) se hizo un trabajo fuerte para incluirlas dentro de la cosecha del nodo nacional. Falta trabajar en la implementación de las directrices.,null,null,1-Conocimiento científico abierto,null,null,Recursos Educativos Abiertos,null,null,null,null,null,null,null,null,null,null,null,4-Infraestructuras de la ciencia abierta,Virtuales,null,null,null,null,null,null,null,null,7-OBJETIVOS UNESCO,null,null,"Invertir en recursos humanos, formación, educación, alfabetización digital y desarrollo de capacidades para la ciencia abierta",null,null,null,1,,
Panamá,CRIS CONECTO,"Se lanzó un CRIS con enfoque nacional, denominado CONECTO, coadministrado por organizaciones miembros del CRIS.",http://conecto.senacyt.gob.pa/conecto/about,conecto@indicasat.org.pa,1-Conocimiento científico abierto,null,null,null,null,Equipos informáticos de código abierto,null,null,null,null,null,null,null,null,null,4-Infraestructuras de la ciencia abierta,Virtuales,null,null,null,null,null,null,null,null,7-OBJETIVOS UNESCO,null,Invertir en infraestructuras y servicios de ciencia abierta,null,null,null,null,1,,
Panamá, Acceso a Bibliografía Científica (ABC), La plataforma Acceso a Bibliografía Científica (ABC) participa activamente en iniciativas de ciencia abierta.,https://abc.senacyt.gob.pa,abc@senacyt.gob.pa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4-Infraestructuras de la ciencia abierta,Virtuales,null,null,null,null,null,null,null,null,7-OBJETIVOS UNESCO,null,null,null,Fomentar una cultura de la ciencia abierta y armonizar los incentivos en favor de la ciencia abierta,null,null,1,,
Panamá,Sistema Nacional de Gestión del Conocimiento,"SENACyT está desarrollando una iniciativa para consolidar el Sistema Nacional de Gestión del Conocimiento Científica, Tecnológico e Innovador de Panamá mediante un ecosistema de plataformas digitales.",https://www.senacyt.gob.pa,info@senacyt.gob.pa,1-Conocimiento científico abierto,null,Datos abiertos de investigación,null,Programas informáticos de código abierto y código fuente abierto,null,null,null,null,null,null,null,null,null,null,4-Infraestructuras de la ciencia abierta,Virtuales,null,5-DIMENSIONES NO UNESCO,null,Innovación Abierta,Investigación abierta y reproducible,null,null,null,7-OBJETIVOS UNESCO,null,Invertir en infraestructuras y servicios de ciencia abierta,null,null,null,nulll,1,,
Panamá,Repositorios Institucionales de Acceso Abierto,En Panamá existen 8 repositorios institucionales de acceso abierto de entidades de CTI (universidades e instituciones de investigación).,null,null,1-Conocimiento científico abierto,null,Datos abiertos de investigación,Recursos Educativos Abiertos,null,null,null,null,null,null,null,null,null,null,null,4-Infraestructuras de la ciencia abierta,Virtuales,null,5-DIMENSIONES NO UNESCO,Evaluación abierta de la Ciencia,null,Investigación abierta y reproducible,null,null,null,7-OBJETIVOS UNESCO,null,Invertir en infraestructuras y servicios de ciencia abierta,null,null,null,nulll,1,,
Panamá,PRICILA,"El Portal de Repositorios Institucionales de Ciencia, Tecnología e Innovación de Literatura Abierta (PRICILA) es el agregador nacional de repositorios de acceso abierto en Panamá, gestionado por la SENACyT.",http://pricila.senacyt.gob.pa/vufind/,abc@senacyt.gob.pa,1-Conocimiento científico abierto,null,Datos abiertos de investigación,null,null,null,null,null,null,null,null,null,null,null,null,4-Infraestructuras de la ciencia abierta,Virtuales,null,5-DIMENSIONES NO UNESCO,Evaluación abierta de la Ciencia,null,null,null,null,null,7-OBJETIVOS UNESCO,null,Invertir en infraestructuras y servicios de ciencia abierta,null,null,null,nulll,1,,
Panamá,Repositorio Nacional de Datos de Investigación,"En 2022, Panamá ha desarrolló un repositorio nacional de datos de investigación.",null,null,1-Conocimiento científico abierto,null,Datos abiertos de investigación,null,null,null,2-Participación abierta de los agentes sociales ,Ciencia Ciudadana,null,null,null,null,null,null,null,4-Infraestructuras de la ciencia abierta,Virtuales,null,5-DIMENSIONES NO UNESCO,null,Innovación Abierta,Investigación abierta y reproducible,null,null,null,7-OBJETIVOS UNESCO,null,Invertir en infraestructuras y servicios de ciencia abierta,null,null,null,nulll,1,,
Panamá,Sistema Nacional de Investigación (SNI),"El Sistema Nacional de Investigación (SNI) evalúa y reconoce el mérito y la dedicación a las labores de investigación y desarrollo tecnológico en Panamá, ofreciendo incentivos económicos y distinciones a la calidad y producción de la investigación.",https://sni.senacyt.gob.pa,info@senacyt.gob.pa,1-Conocimiento científico abierto,Producción científica,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5-DIMENSIONES NO UNESCO,Evaluación abierta de la Ciencia,Innovación Abierta,null,null,null,null,7-OBJETIVOS UNESCO,null,null,null,Fomentar una cultura de la ciencia abierta y armonizar los incentivos en favor de la ciencia abierta,null,nulll,1,,
Panamá,LA Referencia,"País socio del proyecto LA Referencia, ha generado iniciativas y proyectos nacionales en temas de Acceso Abierto, entre los que se pueden resumir: la creación del Repositorio Nacional de Publicaciones (PRICILA), implementación de un sistema nacional CRIS, repositorio nacional de datos de investigación, entre otros.",https://www.lareferencia.info/es/nodos/panama,abc@senacyt.gob.pa,1-Conocimiento científico abierto,Producción científica,Datos abiertos de investigación,null,null,null,null,null,null,null,null,null,null,null,null,4-Infraestructuras de la ciencia abierta,Virtuales,null,null,null,null,null,null,null,null,7-OBJETIVOS UNESCO,Crear un entorno normativo propicio para la ciencia abierta,null,null,null,"Promover la cooperación internacional y multipartita en el contexto de la ciencia abierta y con miras a reducir las brechas digital, tecnológica y de conocimientos.",nulll,1,,
Panamá,"Plan Estratégico Nacional de Ciencia, Tecnología e Innovación (PENCYT)","El Plan Estratégico Nacional de Ciencia, Tecnología e Innovación (PENCYT) tiene como función principal definir las acciones estratégicas que deben llevarse a cabo en el ámbito de la investigación, la tecnología y la innovación en Panamá. El PENCYT se alinea con las prioridades del gobierno y busca contribuir a la transformación del país hacia un Estado moderno y competitivo. El plan se ejecuta a lo largo de un período quinquenal y se adapta a las demandas cambiantes y a la disponibilidad de recursos financieros.",https://www.senacyt.gob.pa/pencyt-2019-2024/,info@senacyt.gob.pa,null,null,null,null,null,null,2-Participación abierta de los agentes sociales ,Ciencia Ciudadana,Financiación Colectiva,Producción Colectiva,null,null,null,null,null,null,null,null,null,null,Innovación Abierta,null,null,null,null,7-OBJETIVOS UNESCO,null,Invertir en infraestructuras y servicios de ciencia abierta,null,null,"Promover la cooperación internacional y multipartita en el contexto de la ciencia abierta y con miras a reducir las brechas digital, tecnológica y de conocimientos.",nulll,1,,
El Salvador ,Políticas de Acceso Abierto en Universidades,"El Salvador no tiene una política nacional de acceso abierto, pero cuenta con políticas institucionales dentro del sector universitario.",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,6-Cuerpos Normativos,null,Institucionales,7-OBJETIVOS UNESCO,null,null,null,Fomentar una cultura de la ciencia abierta y armonizar los incentivos en favor de la ciencia abierta,null,null,1,,
El Salvador ,El Consorcio de Bibliotecas Universitarias (CBUES),El Consorcio de Bibliotecas Universitarias de El Salvador (CBUES) se creó en 2011 para gestionar la compra consorciada de recursos digitales y avanzar hacia una prestación de servicios bibliotecarios colaborativa en el entorno digital. CBUES tiene una política de acceso abierto en la que recomienda a las instituciones miembros que elaboren sus propios mandatos para el depósito de documentos en repositorios de acceso abierto.,https://cbues.org.sv,oficina.tecnica@cbues.org.sv,1-Conocimiento científico abierto,null,Datos abiertos de investigación,null,null,null,Participación abierta de los agentes sociales ,null,Financiación Colectiva,null,null,null,null,null,null,null,Virtuales,null,5-DIMENSIONES NO UNESCO,null,Innovación Abierta,null,null,null,null,7-OBJETIVOS UNESCO,null,Invertir en infraestructuras y servicios de ciencia abierta,null,Fomentar una cultura de la ciencia abierta y armonizar los incentivos en favor de la ciencia abierta,null,Otros,1,,
El Salvador ,Impulso a Repositorios de Acceso Abierto,"El Salvador ha impulsado los repositorios de acceso abierto a través del Consorcio de Bibliotecas Universitarias de El Salvador (CBUES), responsable del Repositorio Digital de Ciencia y Cultura de El Salvador (REDICCES), y del agregador nacional de repositorios de acceso abierto, ACCES.",http://www.redicces.org.sv/jspui/handle/10972/1762     y       http://www.acces.org.sv/vufind/Content/about,null,1-Conocimiento científico abierto,null,Datos abiertos de investigación,null,null,null,null,null,null,null,null,null,null,null,null,4-Infraestructuras de la ciencia abierta,Virtuales,null,5-DIMENSIONES NO UNESCO,null,null,Investigación abierta y reproducible,null,null,null,7-OBJETIVOS UNESCO,null,Invertir en infraestructuras y servicios de ciencia abierta,null,null,null,Otros,1,,
