,,,,,,0101,0102,0103,0104,0105,0201,0202,0203,0204,0301,0302,0303,0304,0305,0401,0402,0403,0501,0502,0601,0602,0603,0604,0605,0606,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,Repositorio Nacional ALICIA (Acceso Libre a la Información Científica),Es el agregado nacional de Perú que centraliza toda la información digital resultado de la producción en CTI generada con fondos públicos o financiadas por el Estado,https://alicia.concytec.gob.pe/,alicia@concytec.gob.pe,"0104,0605",,,,x,,,,,,,,,,,,,,,,,,,,x,,,,,,0104,,,,,,,,,,,,,,,,,,,,0605,
BR,Repositorio Institucional de Concytec,Repositorio creado para albergar y permitir el libre acceso a la producción científica institucional del Concytec.,https://repositorio.concytec.gob.pe/,repositorio@concytec.gob.pe,"0104,0601",,,,x,,,,,,,,,,,,,,,,x,,,,,,,,,,0104,,,,,,,,,,,,,,,,0601,,,,,
BR,Iniciativa para Gobierno Abierto (Compromiso de Open Government Partnership),Dentro de sus compromisos se incluyó el tema de la Ciencia Abierta con propuestas de nuevas formas de evaluación,https://www.opengovpartnership.org/es/,info@opengovpartnership.org,"0401,0603",,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,0401,,,,,,,0603,,,
BR,Convocatorioas de evaluación del Sistema Nacional de Postgrado de la Coodenacao de Aperfeicoamento de Pessoal de Nivel Superior (Capes),Gestiona convocatorias regulares de evaluación,https://www.gov.br/capes/pt-br,faleconosco@capes.gov.br,"0401,0603",,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,0401,,,,,,,0603,,,
BR,"Ministério da Ciência, Tecnologia e Inovações","Es responsable de diseñar las políticas nacionales de CTI y de coordinar políticas sectoriales de determinados ámbitos. También es responsable de la planificación, coordinación, supervisión y control de las actividades de CTI, y de su coordinación con los gobiernos de los estados, del distrito federal y de los municipios, con la sociedad y con otros órganos del gobierno federal.",https://www.gov.br/mcti/pt-br,https://falabr.cgu.gov.br/publico/Manifestacao/SelecionarTipoManifestacao,"0402,0601",,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,0402,,,,0601,,,,,
BR,"Conselho Nacional de Secretários Estaduais para Assuntos de Ciência, Tecnologia e Inovação (Consecti)",Reúne a todas las Secretarías de Estado de CTI del país para coordinar sus actuaciones,https://www.consecti.org.br/,falecom@consecti.org.br,"0402,0601",,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,0402,,,,0601,,,,,
BR,"Estratégia Nacional de Ciência, Tecnologia e Inovação",Se publica cada cuatro años. Actualmente está vigente la correspondiente al periodo 2016-2022. Este documento recoge las directrices sobre las que se asienta la política nacional de CTI,https://bibliotecadigital.economia.gov.br/handle/123456789/990,biblioteca@economia.gov.br,"0402,0601,0605",,,,,,,,,,,,,,,,x,,,,x,,,,x,,,,,,,,,,,,,,,,,,0402,,,,0601,,,,0605,
BR,Miguilim,"El Directorio de revistas científicas electrónicas brasileñas (Miguilim) es una iniciativa del Instituto Brasileño de Información en Ciencia y Tecnología (Ibict) creada con el objetivo de agregar, en un solo lugar, informaciones sobre revistas científicas editadas y publicadas en Brasil que fueron encontradas dispersos en diferentes plataformas.",https://miguilim.ibict.br/static/pages/miguilim.jsp,miguilim@ibict.br,"0101,0602,0604",x,,,,,,,,,,,,,,,,,,,,x,,x,,,,0101,,,,,,,,,,,,,,,,,,,,0602,,0604,,
BR,Diadorim,Directorio de políticas editoriales de revistas científicas brasileñas. En este los editores informan que conceden permisos para el acceso y uso de los artículos publicados. Colabora a los administradores de bases de datos para saber qué pueden o no almacenar sin tener problemas con los derechos de autores.,https://diadorim.ibict.br/,https://diadorim.ibict.br/,"0104,0602",,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,0104,,,,,,,,,,,,,,,,,0602,,,,
BR,Manuelzao,,https://manuelzao.ufmg.br/,manuelzao@manuelzao.ufmg.br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,LA Referencia ,"País socio de LA Referencia, ha generado iniciativas nacionales en el tema de Repositorios y Acceso Abierto. Es signatario de los principales acuerdos de LA Referencia.",https://www.lareferencia.info/es/nodos/brasil,oasisbr@ibict.br,"0101,0304,0601,0603,0605",x,,,,,,,,,,,,x,,,,,,,x,,x,,x,,,0101,,,,,,,,,,,,0304,,,,,,,0601,,0603,,0605,
 CO,Diagnostico del repositorio a instituciones,Vinculadas con la entrega de tres documentos 1) Evaluación de repositorios de investigación (visibilidad y políticas) 2) Calidad de Metadatos de repositorios de investigación y 3) cumplimiento de directrices de LA Referencia de repositorios de investigación. Esperan poder entregarles la versión DSPACE estándar. Los institutos pequeños van a ser albergados en el repositorio de MINCIENCIAS.,https://repositorio.uptc.edu.co/,portalweb@uptc.edu.co,"0101,0602",x,,,,,,,,,,,,,,,,,,,,x,,,,,,0101,,,,,,,,,,,,,,,,,,,,0602,,,,
 CO,"SNCTI en la gestión y recuperación de la información científica, Ciencia Abierta, Apropiación Social del Conocimiento, el Acceso Abierto y la Propiedad intelectual","Fortalecimiento de las capacidades de los actores del SNCTI en la gestión y recuperación de la información científica, Ciencia Abierta, Apropiación Social del Conocimiento, el Acceso Abierto y la Propiedad intelectual",https://legadoweb.minciencias.gov.co/programas_estrategias,contacto@colciencias.gov.co,"0101,0603",x,,,,,,,,,,,,,,,,,,,,,x,,,,,0101,,,,,,,,,,,,,,,,,,,,,0603,,,
 CO,Encuentro Red Colombiana de Información Científica,"Con el objetivo de dar a conocer las acciones, avances y proyectos enmarcados en el acceso a la información científica con el fin de promover la implementación de la Ciencia Abierta como una forma de posibilitar la innovación, democratización y mundialización del conocimiento para su uso y apropiación en beneficio de la sociedad y la ciencia.",https://encuentrosredcol.minciencias.gov.co/,atencionalciudadano@minciencias.gov.co,"0101,0604",x,,,,,,,,,,,,,,,,,,,,,,x,,,,0101,,,,,,,,,,,,,,,,,,,,,,0604,,
 CO,Directrices de Metadatos para Repositorios de Datos de Investigación junto con los documentos conceptuales,"Incluye los siguientes datos: 1) Definiciones y Conceptos Básicos de Datos de Investigación, 2) Diseño de un Plan de Gestión de Datos de Investigación (PGDI) y 3) Principios FAIR (JUSTOS) y recomendaciones de aplicación . ",https://red-documentacion.minciencias.gov.co/Gestion_Datos_Investigacion/DirectricesMetadatos,,"0102,0603,0605",,x,,,,,,,,,,,,,,,,,,,,x,,x,,,,0102,,,,,,,,,,,,,,,,,,,,0603,,0605,
 CO,Construcción de las Directrices para repositorios de investigación de Minciencias,Para normalizar y fortalecer los repositorios institucionales del país.,https://redcol.minciencias.gov.co/vufind/Content/directrices,atencionalciudadano@minciencias.gov.co,"0104,0602",,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,0104,,,,,,,,,,,,,,,,,0602,,,,
 CO,Se construyó el Repositorio de Datos de Investigación de Minciencias el Software libre Dataverse ,Gestionar y recuperar los datos de investigación de las investigaciones financiadas con recursos públicos,https://minciencias.gov.co/sites/default/files/upload/noticias/guia_gestion_de_datos_redcolombianadeic_1.pdf,atencionalciudadano@minciencias.gov.co,"0104,0602,0604",,,,x,,,,,,,,,,,,,,,,,x,,x,,,,,,,0104,,,,,,,,,,,,,,,,,0602,,0604,,
 CO,Fortalecimiento de los servicios de la Red,"Se realiza la construcción de Guías Metodológicas dirigidas a los investigadores, Portal de Vocabularios semánticos (Multi Tesauro) en SKOS, Plugin para la migración automática de OJS a DSPACE y Portal de documentación y guías de la Red.",https://minciencias.gov.co/sites/default/files/upload/noticias/mediciondegrupos-actene2015.pdf,,"0102,0602,0604",,x,,,,,,,,,,,,,,,,,,,x,,x,,,,,0102,,,,,,,,,,,,,,,,,,,0602,,0604,,
 CO,Preservación Digital del Patrimonio del Conocimiento Científico Colombiano,"1) Se realizó el seminario “Colombia – Brasil de Preservación Digital” el cual contó con representantes de ambos países. 2) Se construyó el documento preliminar de Lineamientos de Preservación del Patrimonio del Conocimiento Científico Colombiano a partir de la revisión de antecedentes y marco conceptual, así como también se realizó la mesa de expertos para validar el documento preliminar de lineamientos con la participación de 10 expertos nacionales e internacionales. 3) En el marco del 2do encuentro virtual Red Colombiana de Información Científica se realizó el día 17 de noviembre de manera virtual, la charla-taller de “Introducción a los Lineamientos de Preservación del Patrimonio del Conocimiento Científico Colombiano” la cual contó con la participación de 61 asistentes. 4) Para articular las iniciativas se avanza en el Memorando de Entendimiento entre Minciencias y el IBICT con el objeto de acompañar el desarrollo de la Red de Preservación de Colombia",https://www.archivogeneral.gov.co/caja_de_herramientas/docs/6.%20preservacion/DOCUMENTOS%20TECNICOS/FUNDAMENTOS%20PRESERVACION%20DIGITAL%20LARGO%20PLAZO.pdf,contacto@archivogeneral.gov.co,"0105,0601",,,,,x,,,,,,,,,,,,,,,x,,,,,,,,,,,0105,,,,,,,,,,,,,,,0601,,,,,
 CO,Utilización de la plataforma InstituLAC para registrar la información de las instituciones de ejecución de la investigación por parte de los agentes de ejecución de la actividad de CTI,La plataforma se utiliza para acceder a ayudas públicas y servicios de acreditación ,https://scienti.minciencias.gov.co/institulac2-war/,atencionalciudadano@minciencias.gov.co,"0105,0604,0605",,,,,x,,,,,,,,,,,,,,,,,,x,x,,,,,,,0105,,,,,,,,,,,,,,,,,,0604,0605,
 CO,Comité Consultivo Nacional,"Conformado por el Minciencias, la Organización Panamericana de la Salud-Representación Colombia y la Universidad Nacional de Colombia, entre otros.",https://www.bvscolombia.org/ccn/,bvscolombia@fucsalud.edu.co,"0401,0601,0604",,,,,,,,,,,,,,,x,,,,,x,,,x,,,,,,,,,,,,,,,,,,0401,,,,,0601,,,0604,,
 CO,CvLAC,"Es el registro permanente de currículos del personal investigador en Colombia, que sirve como herramienta de comunicación de méritos y permite incrementar la visibilidad nacional e internacional del personal investigador. Es una herramienta útil para optar a convocatorias públicas y para la selección de evaluadores por pares de instituciones de educación superior, investigación y de innovación",https://scienti.minciencias.gov.co/cvlac/Login/pre_s_login.do,atencionalciudadano@minciencias.gov.co,"0102,0605",,x,,,,,,,,,,,,,,,,,,,,,,x,,,,0102,,,,,,,,,,,,,,,,,,,,,,0605,
 CO,Política Nacional de Ciencia Abierta 2022-2031,"Se proponen componentes fundamentales el Conocimiento científico abierto, Infraestructuras abiertas, Apropiación Social de la Ciencia, Tecnología e Innovación y la Comunicación abierta que deben estar acompañados de estrategias de formación, propiedad intelectual, incentivos, métricas alternativas y evaluación abierta con un cambio cultural centrado en la apertura del proceso científico, apoyado en principios y valores tales como apertura, participación, diálogo de saberes y conocimientos, universalidad, integralidad, colaboración y transparencia.","https://minciencias.gov.co/sala_de_prensa/politica-nacional-ciencia-abierta-2022-2031-una-realidad-en-colombia#:~:text=El%20ministro%20de%20Ciencia%2C%20Tecnolog%C3%ADa,de%20innovaci%C3%B3n%20en%20el%20pa%C3%ADs.          https://minciencias.gov.co/pdf/pdfreader?url=https://minciencias.gov.co/sites/default/files/politica_nacional_de_ciencia_abierta_-2022_-_version_aprobada.pdf",atencionalciudadano@minciencias.gov.co,"0401,0603",,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,0401,,,,,,,0603,,,
 CO, Lineamientos para fomentar la cultura de gestión y apertura de las publicaciones científicas ,Se formularon los Lineamientos para fomentar la cultura de gestión y apertura de las publicaciones científicas y los Lineamientos para fomentar la cultura de gestión y apertura de datos de investigación (2022),https://minciencias.gov.co/sites/default/files/upload/noticias/lineamientos_para_fomentar_la_cultura_de_gestion_y_apertura_de_datos_de_investigacion.pdf,falta contacto,"0102,0601,0604",,x,,,,,,,,,,,,,,,,,,x,,,x,,,,,0102,,,,,,,,,,,,,,,,,,0601,,,0604,,
 CO,Se está trabajando en la política de conocimientos ancestrales. Política interministerial.,,falta web,,0501,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,0501,,,,,,,
 CO,El marco legal de la gobernanza del sistema colombiano de CTI está compuesto por la Ley 2.162 y el Decreto 1.666. ,,falta web,,0501,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,0501,,,,,,,
 CO,"Ministerio de Ciencia, Tecnología e Innovación",Es el órgano responsable de la política de CTI.,https://www.micitt.go.cr/,micitt@micitt.go.cr,"0501,0601,0604",,,,,,,,,,,,,,,,,,x,,x,,,x,,,,,,,,,,,,,,,,,,,,,0501,,0601,,,0604,,
 CO,"Consejos Departamentales de Ciencia, Tecnología e Innovación (CODECTI) ","Coordinan las estrategias de CTI a nivel regional. 
",https://sitio.narino.gov.co/codecti/,contactenos@narino.gov.co,"0501,0602",,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,0501,,,0602,,,,
 CO,Política Nacional de CTI 2021-2023,"Tiene como objetivo general incrementar la contribución de la CTI al desarrollo social, económico, ambiental y sostenible del país. ",falta web,,"0601,0605",,,,,,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,0601,,,,0605,
 CO,Marco Normativo de la iniciativa de Datos Abiertos en Colombia,"El Marco Normativo de la iniciativa de Datos Abiertos en Colombia está respaldado principalmente por la Ley 1712 de 2014, Ley 1581 de 2012 y el nuevo enfoque de la Política de Gobierno Digital (Decreto 1008 de 2018).","https://www.senado.gov.co/index.php/documentos/categoria-transparencia/politicas-y-planes-historico/politicas-y-planes/politicas-institucionales/4315-rt-pi03-politica-datos-abiertos/file#:~:text=El%20Marco%20Normativo%20de%20la,el%20ciudadano%20y%20el%20Estado.",soporteccc@mintic.gov.co,"0305,0501,0601,0603",,,,,,,,,,,,,,x,,,,x,,x,,x,,,,,,,,,,,,,,,,,,0305,,,,0501,,0601,,0603,,,
 CO,LA Referencia ,"País socio del Proyecto LA Referencia, ha generado iniciativas nacionales en el tema de Repositorios y Acceso Abierto. Es signatario de los principales acuerdos de LA Referencia.",https://www.lareferencia.info/es/nodos/colombia,redcol@minciencias.gov.co  y atencionalciudadano@minciencias.gov.co,"0101,0304,0601,0603,0605",x,,,,,,,,,,,,x,,,,,,,x,,x,,x,,,0101,,,,,,,,,,,,0304,,,,,,,0601,,0603,,0605,
CR,Evaluación de Revistas Científicas,"Es una herramienta para la medición de la calidad de las revistas Costarricenses por medio de indicadores organizados en categorías. Su propósito es Medir la calidad de las revistas en aspectos de rigurosidad, sistematicidad, originalidad y posibilidad de comprobación del contenido de los artículos, considerando para ello la gestión editorial, la visibilidad y el contenido.",https://conocimientoabierto.conare.ac.cr/index.php/evaluacion-de-revistas/ ,conocimientoabierto@conare.ac.cr,"0101,0401,0606",x,,,,,,,,,,,,,,x,,,,,,,,,,x,,0101,,,,,,,,,,,,,,0401,,,,,,,,,,0606
CR,RDA Costa Rica Node,"El propósito del Grupo Costa Rica es el de ser un puente entre la comunidad de RDA y aquellas personas que forman parte de universidades, instituciones, grupos de trabajo o de algún proyecto que busquen generar, vincular, compartir y reutilizar datos de investigación desde la práctica de datos abiertos,en Costa Rica y en la región. Además, por su contexto geográfico y político, Costa Rica puede servir de puente entre países del Caribe, Norte, Sur y Centroamérica, para mejorar la comunicación, facilitar el intercambio de recursos y capacidades técnicas.",https://www.rd-alliance.org/groups/rda-costa-rica,conocimientoabierto@conare.ac.cr,"0102,0304,0403,0601,0602,0603,0605",,x,,,,,,,,,,,x,,,,x,,,x,x,x,,x,,,,0102,,,,,,,,,,,0304,,,,0403,,,0601,0602,0603,,0605,
