,,,,,,0101,0102,0103,0104,0105,0201,0202,0203,0204,0301,0302,0303,0401,0402,0501,0502,0503,0601,0602,0701,0702,0703,0704,0705,0706,0707,,,,,,,,,,,,,,,,,,,,,,,,,,
AR,Programa Nacional de Ciencia Ciudadana,"Impulsa la participación comunitaria en iniciativas de ciencia ciudadana para generar insumos para la política pública, poner en valor prácticas abiertas y colaborativas de co-construcción de conocimiento que aportan evidencia para la resolución de problemas sociales y contribuir al desarrollo de vocaciones científicas tempranas. Sus objetivos son: 1) Financiar programas y proyectos de ciencia ciudadana argentinos, desde su etapa de ideación hasta el mejoramiento y escalado de las iniciativas; 2) Mapear y monitorear programas y proyectos de ciencia ciudadana desarrollados en Argentina, generando información sistemática e identificando oportunidades, desafíos y lecciones aprendidas en sus distintas etapas; 3) Fomentar la generación y aplicación de diversas herramientas específicas –de investigación, soporte, difusión, comunicación pública u otras– para programas y proyectos de ciencia ciudadana; 4) Promover y visibilizar la participación de la sociedad civil en iniciativas y proyectos de ciencia ciudadana a través de actividades de articulación, difusión y comunicación pública; 5) Impulsar la formación en ciencia ciudadana, en metodologías participativas de investigación y otras áreas de experticia relacionadas; y 6) Promover estudios, investigaciones y diagnósticos relativos a la Ciencia Ciudadana en Argentina, útiles para el desarrollo de políticas públicas en diversas áreas de intervención.",https://www.argentina.gob.ar/ciencia/sact/ciencia-ciudadana,"proyectoscciudadana@jefatura.gob.ar

ciencia.abierta@jefatura.gob.ar","0201,0701,0705,0706,0707",,,,,,X,,,,,,,,,,,,,,X,,,,X,X,X,,,,,,0201,,,,,,,,,,,,,,0701,,,,0705,0706,0707
AR,Comité Asesor en Ciencia Abierta y Ciudadana,"El Comité Asesor en Ciencia Abierta y Ciudadana fue creado en marzo de 2021 mediante la Resolución 132/2021 del entonces Ministerio de Ciencia, Tecnología e Innovación. Entre sus tareas se encuentran asesorar y brindar opinión fundada a las diferentes estructuras del MINCyT en las áreas de Ciencia Abierta y Ciudadana, tendientes a la elaboración de políticas y planificación de acciones relacionadas con la temática; elaborar documentos que puedan ser utilizados para sustentar y promover la participación argentina en foros internacionales de ciencia abierta; y elaborar propuestas de líneas de acción e informes conducentes a asesorar al MINCyT en los procesos de consideración de las prácticas, infraestructuras y procesos de ciencia abierta en el país.",https://www.argentina.gob.ar/ciencia/comite-ciencia-abierta,,"0201,0707",,,,,,X,,,,,,,,,,,,,,,,,,,,X,,,,,,0201,,,,,,,,,,,,,,,,,,,,0707
AR,LA Referencia ,"País socio de LA Referencia, ha generado iniciativas nacionales en el tema de Repositorios y Acceso Abierto, entre los que se destacan: el Sistema Nacional de Repositorios Digitales en Ciencia y Tecnología y la Ley para el Acceso Abierto. Es signatario de los principales acuerdos de LA Referencia.
",https://www.lareferencia.info/es/nodos/argentina,repositorios@jefatura.gob.ar,"0101,0401,0701,0703,0705,0707",x,,,,,,,,,,,,x,,,,,,,x,,x,,x,,x,0101,,,,,,,,,,,,0401,,,,,,,0701,,0703,,0705,,0707
AR,"Plan Nacional de Ciencia, Tecnología e Innovación 2030","El Plan Nacional de Ciencia, Tecnología e Innovación Argentina Innovadora 2030 es una política de desarrollo impulsada por el Ministerio de Ciencia, Tecnología e Innovación. Su objetivo es transformar el país a través de la innovación científica y tecnológica, enfocándose en áreas estratégicas como salud, energía, agroindustria, cambio climático y transformación digital. El plan fomenta la cooperación entre sectores público y privado, orientado a crear empleo, aumentar la competitividad, y mejorar la calidad de vida. Además, busca fortalecer el sistema de ciencia y tecnología, promoviendo la ciencia abierta y la integración regional para enfrentar los desafíos del desarrollo sostenible al 2030.",https://www.argentina.gob.ar/ciencia/plan-nacional-cti/plan-cti,planificacioncyt@jefatura.gob.ar,"0601,0701,0702",,,,,,,,,,,,,,,,,,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,0601,,0701,0702,,,,,
BR,Directorio de Revistas Científicas,Busca impulsar mejoras en la calidad mediante una comisión de CA que define los indicadores necesarios.,https://www.redalyc.org/pais.oa?id=21,redalyc@redalyc.org,"0101,0702,0704",x,,,,,,,,,,,,,,,,,,,,x,,x,,,,0101,,,,,,,,,,,,,,,,,,,,0702,,0704,,,
BR,Proyecto BrCRIS,"Un agregador de datos CRIS nacional. Es un desarrollo conjunto entre el IBICT y LA Referencia, basado en la plataforma de agregación LA Referencia. Se ha creado una plataforma con un modelo flexible que luego puede ser adoptado por cualquier país de la red. (Perú y Panamá ya están avanzando en sus propios proyectos nacionales).",https://brcris.ibict.br,https://brcris.ibict.br/contact,"0104,0702",,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,0104,,,,,,,,,,,,,,,,,0702,,,,,
BR,Conformación del nodo RDA,"Tiene como objetivo “Establecer mecanismos de gobernanza de datos científicos para avanzar en la Ciencia Abierta en Brasil”. También, destacar la instrumentalidad de la RDA y las herramientas digitales que ofrece para la implementación y sostenibilidad de la red interinstitucional de Ciencia Abierta.",https://www.rd-alliance.org/groups/rda-brazil,https://www.rd-alliance.org/contact,"0102,0701,0702",,x,,,,,,,,,,,,,,,,,,x,x,,,,,,,0102,,,,,,,,,,,,,,,,,,0701,0702,,,,,
BR,Red Brasileña de Repositorios Digitales,"Portal que reúne la producción cienítifica de Brasil, mediante el almacenamiento ordenado de los recursos digitales, para que puedan ser consultados.",https://www.arca.fiocruz.br/handle/icict/54766,https://www.arca.fiocruz.br/handle/icict/page/faleconosco,"0104,0702",,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,0104,,,,,,,,,,,,,,,,,0702,,,,,
BR,Repositorio de Datos IBICT,"Bases de datos en línea que reúnen de manera organizada la producción científica de una institución o área temática; almacenan archivos de diferentes formatos. Además, redundan en una serie de beneficios tanto para los investigadores como para las instituciones o sociedades científicas, proporcionando una mayor visibilidad a los resultados de la investigación y permitiendo la preservación de la memoria científica de su institución.",https://dados.ibict.br/,https://dados.ibict.br/,"0104,0702",,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,0104,,,,,,,,,,,,,,,,,0702,,,,,
BR,Rede Carianiana,Red de servicios de preservación digital de datos de investigación.,https://cariniana.ibict.br/, cariniana@ibict.br,"0104,0706",,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,0104,,,,,,,,,,,,,,,,,,,,,0706,
BR,"Biblioteca Electrónica en Línea Cientíca, SciELO",Plataforma de servicios que permite la publicación de revistas y editoriales en acceso abierto y que funciona como un agregador de metadatos y textos completos de revistas de alta calidad. ,https://www.scielo.br/,scielo@scielo.org,"0104,0701,0704",,,,x,,,,,,,,,,,,,,,,x,,,x,,,,,,,0104,,,,,,,,,,,,,,,,0701,,,0704,,,
BR,Plataforma Digital Lattes,"Integra bases de currículos, grupos de investigación e instituciones de financiación, universidades e institutos de investigación. ",https://www.lattes.cnpq.br/,atendimento@cnpq.br,"0104,0704",,,,x,,,,,,,,,,,,,,,,,,,x,,,,,,,0104,,,,,,,,,,,,,,,,,,,0704,,,
BR,Iniciativa para Gobierno Abierto (Compromiso de Open Government Partnership),Dentro de sus compromisos se incluyó el tema de la Ciencia Abierta con propuestas de nuevas formas de evaluación,https://www.opengovpartnership.org/es/,info@opengovpartnership.org,"0501,0703",,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,0501,,,,,,,0703,,,,
BR,Convocatorioas de evaluación del Sistema Nacional de Postgrado de la Coodenacao de Aperfeicoamento de Pessoal de Nivel Superior (Capes),Gestiona convocatorias regulares de evaluación,https://www.gov.br/capes/pt-br,faleconosco@capes.gov.br,"0501,0703",,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,0501,,,,,,,0703,,,,
BR,"Ministério da Ciência, Tecnologia e Inovações","Es responsable de diseñar las políticas nacionales de CTI y de coordinar políticas sectoriales de determinados ámbitos. También es responsable de la planificación, coordinación, supervisión y control de las actividades de CTI, y de su coordinación con los gobiernos de los estados, del distrito federal y de los municipios, con la sociedad y con otros órganos del gobierno federal.",https://www.gov.br/mcti/pt-br,https://falabr.cgu.gov.br/publico/Manifestacao/SelecionarTipoManifestacao,"0502,0701",,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,0502,,,,0701,,,,,,
BR,"Conselho Nacional de Secretários Estaduais para Assuntos de Ciência, Tecnologia e Inovação (Consecti)",Reúne a todas las Secretarías de Estado de CTI del país para coordinar sus actuaciones,https://www.consecti.org.br/,falecom@consecti.org.br,"0502,0701",,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,0502,,,,0701,,,,,,
BR,"Estratégia Nacional de Ciência, Tecnologia e Inovação",Se publica cada cuatro años. Actualmente está vigente la correspondiente al periodo 2016-2022. Este documento recoge las directrices sobre las que se asienta la política nacional de CTI,https://bibliotecadigital.economia.gov.br/handle/123456789/990,biblioteca@economia.gov.br,"0502,0701,0705",,,,,,,,,,,,,,,,x,,,,x,,,,x,,,,,,,,,,,,,,,,,,0502,,,,0701,,,,0705,,
BR,Miguilim,"El Directorio de revistas científicas electrónicas brasileñas (Miguilim) es una iniciativa del Instituto Brasileño de Información en Ciencia y Tecnología (Ibict) creada con el objetivo de agregar, en un solo lugar, informaciones sobre revistas científicas editadas y publicadas en Brasil que fueron encontradas dispersos en diferentes plataformas.",miguilim@ibict.br,miguilim@ibict.br,"0101,0702,0704",x,,,,,,,,,,,,,,,,,,,,x,,x,,,,0101,,,,,,,,,,,,,,,,,,,,0702,,0704,,,
BR,Diadorim,Directorio de políticas editoriales de revistas científicas brasileñas. En este los editores informan que conceden permisos para el acceso y uso de los artículos publicados. Colabora a los administradores de bases de datos para saber qué pueden o no almacenar sin tener problemas con los derechos de autores.,https://diadorim.ibict.br/,https://diadorim.ibict.br/,"0104,0702",,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,0104,,,,,,,,,,,,,,,,,0702,,,,,
BR,Manuelzao,"Reúne información relevante para la creación, gestión, difusión y mejora de la calidad de las revistas científicas electrónicas brasileñas.",https://manuelzao.ibict.br/,https://manuelzao.ibict.br/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,LA Referencia ,"País socio de LA Referencia, ha generado iniciativas nacionales en el tema de Repositorios y Acceso Abierto. Es signatario de los principales acuerdos de LA Referencia.",https://www.lareferencia.info/es/nodos/brasil,oasisbr@ibict.br,"0101,0401,0701,0703,0705,0707",x,,,,,,,,,,,,x,,,,,,,x,,x,,x,,x,0101,,,,,,,,,,,,0401,,,,,,,0701,,0703,,0705,,0707
BR,Oasisbr,"Reúne la producción científica y los datos de investigación en acceso abierto, publicados en revistas científicas, repositorios digitales de publicaciones científicas, repositorios digitales de datos de investigación y bibliotecas digitales de tesis y tesinas.",https://oasisbr.ibict.br/,https://oasisbr.ibict.br/,"0101,0102,0703,0705,0706,0707",x,x,,,,,,,,,,,,,,,,,,,,x,,x,x,x,0101,0102,,,,,,,,,,,,,,,,,,,,0703,,0705,0706,0707
BR,BDTD,"Su objetivo es integrar en un único portal los sistemas de información sobre tesis y tesinas existentes en el país y poner a disposición de los usuarios un catálogo nacional de tesis y tesinas a texto completo, que permita una única forma de búsqueda y acceso a estos documentos.",https://bdtd.ibict.br/,https://bdtd.ibict.br/,"0101,0703,0705,0706,0707",x,,,,,,,,,,,,,,,,,,,,,x,,x,x,x,0101,,,,,,,,,,,,,,,,,,,,,0703,,0705,0706,0707
BR,ALEIA,"Repositorio oficial del Ibict que almacena, publica, difunde, preserva y comparte conjuntos de datos de la comunidad científica del Ibict (formada por sus empleados, investigadores visitantes, becarios y estudiantes de programas de postgrado). Su objetivo es promover, apoyar y facilitar la adopción del acceso abierto a los datos de investigación, fomentar nuevas investigaciones y promover la Ciencia Abierta.",https://aleia.ibict.br/,https://aleia.ibict.br/,"0102,0703,0705,0706",,x,,,,,,,,,,,,,,,,,,,,x,,x,x,,,0102,,,,,,,,,,,,,,,,,,,,0703,,0705,0706,
BR,RIDI,"El Repositorio Institucional Digital (RIDI) del IBICT proporciona una colección creciente de publicaciones científicas producidas en el Instituto. El principal objetivo del RIDI es almacenar, preservar, difundir y dar acceso a la producción intelectual del IBICT, proporcionando una mayor visibilidad y maximizando el impacto de la investigación como parte del movimiento de Acceso Abierto a la información.",https://ridi.ibict.br/,https://ridi.ibict.br/,"0101,0703,0705,0706",x,,,,,,,,,,,,,,,,,,,,,x,,x,x,,0101,,,,,,,,,,,,,,,,,,,,,0703,,0705,0706,
BR,DEPOSITA ,Una base de datos para recopilar y dar a conocer la producción científica de los investigadores de instituciones que aún no disponen de sus propios repositorios institucionales.,https://deposita.ibict.br/,https://deposita.ibict.br/,"0101,0703,0705,0706",x,,,,,,,,,,,,,,,,,,,,,x,,x,x,,0101,,,,,,,,,,,,,,,,,,,,,0703,,0705,0706,
BR,Deposita Dados ,El Depósito Común de Datos de Investigación (Deposita Dados) integra y difunde conjuntos de datos de investigación de investigadores brasileños vinculados a instituciones científicas que aún no disponen de sus propios depósitos de datos de investigación y/o de investigadores brasileños que han ejecutado sus conjuntos de datos a través de la colaboración científica en instituciones de enseñanza e investigación extranjeras. ,https://depositadados.ibict.br/,https://depositadados.ibict.br/,"0102,0703,0705,0706",,x,,,,,,,,,,,,,,,,,,,,x,,x,x,,,0102,,,,,,,,,,,,,,,,,,,,0703,,0705,0706,
BR,Plataforma Civis,"El objetivo es proporcionar infraestructuras y contenidos que contribuyan a ampliar el conocimiento de la Ciencia Ciudadana, difundir su uso y apoyar el desarrollo de iniciativas y la aplicación de metodologías en este campo, con especial atención a América Latina y el Caribe.",https://civis.ibict.br/,https://civis.ibict.br/,"0201,0703,0705,0706",,,,,,x,,,,,,,,,,,,,,,,x,,x,x,,,,,,,0201,,,,,,,,,,,,,,,,0703,,0705,0706,
BR,Rede Moara,"Plataforma que reúne a desarrolladores de software libre, complementos e interfaces de programación de aplicaciones (API) relacionados con la Ciencia, la Tecnología y la Innovación (CTI).",https://redemoara.ibict.br/,https://redemoara.ibict.br/,"0104,0703,0705,0706",,,,x,,,,,,,,,,,,,,,,,,x,,x,x,,,,,0104,,,,,,,,,,,,,,,,,,0703,,0705,0706,
 CO,Red Colombiana de Información Científica,"Potenciar el acceso, la visibilidad, circulación y gestión de la información científica nacional a partir de la formulación de políticas y coordinación de la implementación de componentes de Ciencia Abierta.",https://redcol.minciencias.gov.co/,redcol@minciencias.gov.co,"0101,0102,0401,0503,0601,0702,0703,0707",x,x,,,,,,,,,,,x,,,,x,x,,,x,x,,,,x,0101,0102,,,,,,,,,,,0401,,,,0503,0601,,,0702,0703,,,,0707
 CO,Encuentro Red Colombiana de Información Científica,"Dar a conocer las acciones, avances y proyectos enmarcados en el acceso a la información científica con el fin de promover la implementación de la Ciencia Abierta como una forma de posibilitar la innovación, democratización y mundialización del conocimiento para su uso y apropiación en beneficio de la sociedad y la ciencia.",https://encuentrosredcol.minciencias.gov.co/,redcol@minciencias.gov.co,"0101,0102,0401,0503,0601,0704",x,x,,,,,,,,,,,x,,,,x,x,,,,,x,,,,0101,0102,,,,,,,,,,,0401,,,,0503,0601,,,,,0704,,,
 CO,"Directrices para repositorios institucionales de investigación del Ministerio de Ciencia, Tecnología e Innovación","Consolidar una oferta de la producción científica del país para lograr dar visibilidad y acceso a la información científica nacional, facilitando la inclusión en redes internacionales a través de la estandarización e interoperabilidad de los diferentes repositorios de las instituciones miembros",https://redcol.readthedocs.io/es/latest/,redcol@minciencias.gov.co,"0101,0104,0401,0503,0601,0702",x,,,x,,,,,,,,,x,,,,x,x,,,x,,,,,,0101,,,0104,,,,,,,,,0401,,,,0503,0601,,,0702,,,,,
 CO,"Directrices de Metadatos para Repositorios de Datos de Investigación del Ministerio de Ciencia, Tecnología e Innovación","Consolidar una red de colaboración e intercambio de todos los datos de investigación que se encuentren publicados en los repositorios de datos de investigación nacionales, que a su vez, permitan implementar una infraestructura de productos y servicios derivados y desarrollados en el marco de la Ciencia Abierta.",https://datacite-redcol.readthedocs.io/en/master/,redcol@minciencias.gov.co,"0102,0401,0503,0601,0702",,x,,,,,,,,,,,x,,,,x,x,,,x,,,,,,,0102,,,,,,,,,,,0401,,,,0503,0601,,,0702,,,,,
 CO,Repositorio de Datos de Investigación de Minciencias el Software libre Dataverse ,Infraestructura basada en Softaware libre Dataverse para gestionar los datos de investigación financiados con recursos publicos  ,https://redcol-dataverse.metadatos.org/,redcol@minciencias.gov.co,"0102,0401,0503,0601,0703",,x,,,,,,,,,,,x,,,,x,x,,,,x,,,,,,0102,,,,,,,,,,,0401,,,,0503,0601,,,,0703,,,,
 CO,Política Nacional de Ciencia Abierta 2022-2031,"Se proponen componentes fundamentales el Conocimiento científico abierto, Infraestructuras abiertas, Apropiación Social de la Ciencia, Tecnología e Innovación y la Comunicación abierta que deben estar acompañados de estrategias de formación, propiedad intelectual, incentivos, métricas alternativas y evaluación abierta con un cambio cultural centrado en la apertura del proceso científico, apoyado en principios y valores tales como apertura, participación, diálogo de saberes y conocimientos, universalidad, integralidad, colaboración y transparencia.","https://minciencias.gov.co/sala_de_prensa/politica-nacional-ciencia-abierta-2022-2031-una-realidad-en-colombia#:~:text=El%20ministro%20de%20Ciencia%2C%20Tecnolog%C3%ADa,de%20innovaci%C3%B3n%20en%20el%20pa%C3%ADs.          https://minciencias.gov.co/pdf/pdfreader?url=https://minciencias.gov.co/sites/default/files/politica_nacional_de_ciencia_abierta_-2022_-_version_aprobada.pdf",redcol@minciencias.gov.co,"0101,0102,0103,0104,0105,0201,0202,0203,0301,0302,0303,0401,0501,0502,0503,0601,0701,0702",x,x,x,x,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,,,,,,0101,0102,0103,0104,0105,0201,0202,0203,,0301,0302,0303,0401,,0501,0502,0503,0601,,0701,0702,,,,,
 CO,Repositorio de productos de investigación de Minciencias,"Dispone de una gran colección digital colombiana especializada en ciencia tecnología e innovación, el cual reúne, conserva, difunde y facilita el acceso a los documentos institucionales de políticas, programas, proyectos, indicadores, bases de datos, producción editorial, literatura gris (no publicada convencionalmente), textos digitales, multimedia, ilustraciones y recursos audiovisuales sobre ciencia, tecnología e innovación del país.",https://repositorio.minciencias.gov.co/,cendoc@minciencias.gov.co,"0101,0401,0503,0601,0703",x,,,,,,,,,,,,x,,,,x,x,,,,x,,,,,0101,,,,,,,,,,,,0401,,,,0503,0601,,,,0703,,,,
 CO,Portal de documentos y guías Red Colombiana de Información Cientítica,Repositorio de documentos definidos para la estrategia de la Red Colombiana de Información Cientifica,https://red-documentacion.minciencias.gov.co/,redcol@minciencias.gov.co,"0103,0401,0601,0704",,,x,,,,,,,,,,x,,,,,x,,,,,x,,,,,,0103,,,,,,,,,,0401,,,,,0601,,,,,0704,,,
 CO,ScienTI,"Plataforma fuentes de información y conocimiento para la gestión en ciencia, tecnología e innovación que incluye CVLAC, GrupLAC e Institulac a se utiliza para acceder a ayudas públicas y servicios de acreditación y evaluación",https://minciencias.gov.co/scienti,atencionalciudadano@minciencias.gov.co,"0401,0501,0601,0703",,,,,,,,,,,,,x,,x,,,x,,,,x,,,,,,,,,,,,,,,,,0401,,0501,,,0601,,,,0703,,,,
 CO,Publindex,Sistema para la evaluación y clasificación de revistas científicas nacionales,https://minciencias.gov.co/content/publindex,atencionalciudadano@minciencias.gov.co,"0501,0703",,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,0501,,,,,,,0703,,,,
 CO,Comité Consultivo Nacional,"Conformado por el Minciencias, la Organización Panamericana de la Salud-Representación Colombia y la Universidad Nacional de Colombia, entre otros.",https://www.bvscolombia.org/ccn/,bvscolombia@fucsalud.edu.co,"0501,0601,0701,0704",,,,,,,,,,,,,,,x,,,x,,x,,,x,,,,,,,,,,,,,,,,,,0501,,,0601,,0701,,,0704,,,
 CO,Lineamientos para fomentar la cultura de gestión y apertura de las publicaciones científica,"establecer la hoja de ruta, para una adecuada gestión de las publicaciones
científicas en entornos digitales, así como su apertura e integración en el marco de la Política Nacional de Ciencia
Abierta 2022 - 2031",https://www.minciencias.gov.co/sites/default/files/upload/noticias/lineamientos_para_fomentar_la_cultura_de_gestion_y_apertura_de_las_publicaciones_cientificas_.pdf,redcol@minciencias.gov.co,"0101,0503,0601,0702",x,,,,,,,,,,,,,,,,x,x,,,x,,,,,,0101,,,,,,,,,,,,,,,,0503,0601,,,0702,,,,,
