,,,,,,0101,0102,0103,0104,0105,0201,0202,0203,0204,0301,0302,0303,0401,0402,0501,0502,0503,0601,0602,0701,0702,0703,0704,0705,0706,0707,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,Convocatorioas de evaluación del Sistema Nacional de Postgrado de la Coodenacao de Aperfeicoamento de Pessoal de Nivel Superior (Capes),Gestiona convocatorias regulares de evaluación,https://www.gov.br/capes/pt-br,faleconosco@capes.gov.br,"0501,0703",,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,0501,,,,,,,0703,,,,
BR,"Ministério da Ciência, Tecnologia e Inovações","Es responsable de diseñar las políticas nacionales de CTI y de coordinar políticas sectoriales de determinados ámbitos. También es responsable de la planificación, coordinación, supervisión y control de las actividades de CTI, y de su coordinación con los gobiernos de los estados, del distrito federal y de los municipios, con la sociedad y con otros órganos del gobierno federal.",https://www.gov.br/mcti/pt-br,https://falabr.cgu.gov.br/publico/Manifestacao/SelecionarTipoManifestacao,"0502,0701",,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,0502,,,,0701,,,,,,
BR,"Conselho Nacional de Secretários Estaduais para Assuntos de Ciência, Tecnologia e Inovação (Consecti)",Reúne a todas las Secretarías de Estado de CTI del país para coordinar sus actuaciones,https://www.consecti.org.br/,falecom@consecti.org.br,"0502,0701",,,,,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,0502,,,,0701,,,,,,
BR,"Estratégia Nacional de Ciência, Tecnologia e Inovação",Se publica cada cuatro años. Actualmente está vigente la correspondiente al periodo 2016-2022. Este documento recoge las directrices sobre las que se asienta la política nacional de CTI,https://bibliotecadigital.economia.gov.br/handle/123456789/990,biblioteca@economia.gov.br,"0502,0701,0705",,,,,,,,,,,,,,,,x,,,,x,,,,x,,,,,,,,,,,,,,,,,,0502,,,,0701,,,,0705,,
BR,Miguilim,"El Directorio de revistas científicas electrónicas brasileñas (Miguilim) es una iniciativa del Instituto Brasileño de Información en Ciencia y Tecnología (Ibict) creada con el objetivo de agregar, en un solo lugar, informaciones sobre revistas científicas editadas y publicadas en Brasil que fueron encontradas dispersos en diferentes plataformas.",https://miguilim.ibict.br/static/pages/miguilim.jsp,miguilim@ibict.br,"0101,0702,0704",x,,,,,,,,,,,,,,,,,,,,x,,x,,,,0101,,,,,,,,,,,,,,,,,,,,0702,,0704,,,
BR,Diadorim,Directorio de políticas editoriales de revistas científicas brasileñas. En este los editores informan que conceden permisos para el acceso y uso de los artículos publicados. Colabora a los administradores de bases de datos para saber qué pueden o no almacenar sin tener problemas con los derechos de autores.,https://diadorim.ibict.br/,https://diadorim.ibict.br/,"0104,0702",,,,x,,,,,,,,,,,,,,,,,x,,,,,,,,,0104,,,,,,,,,,,,,,,,,0702,,,,,
BR,Manuelzao,,https://manuelzao.ufmg.br/,manuelzao@manuelzao.ufmg.br,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,LA Referencia ,"País socio de LA Referencia, ha generado iniciativas nacionales en el tema de Repositorios y Acceso Abierto. Es signatario de los principales acuerdos de LA Referencia.",https://www.lareferencia.info/es/nodos/brasil,oasisbr@ibict.br,"0101,0401,0701,0703,0705",x,,,,,,,,,,,,x,,,,,,,x,,x,,x,,,0101,,,,,,,,,,,,0401,,,,,,,0701,,0703,,0705,,
 CO,"Ministerio de Ciencia, Tecnología e Innovación"," es el organismo del Gobierno Nacional de Colombia para la gestión de la administración pública, rector del sector y del Sistema Nacional de Ciencia, Tecnología e Innovación",https://minciencias.gov.co/,atencionalciudadano@minciencias.gov.co,"0601,0702",,,,,,,,,,,,,,,,,,x,,,x,,,,,,,,,,,,,,,,,,,,,,,0601,,,0702,,,,,
 CO,Red Colombiana de Información Científica,"Potenciar el acceso, la visibilidad, circulación y gestión de la información científica nacional a partir de la formulación de políticas y coordinación de la implementación de componentes de Ciencia Abierta.",https://redcol.minciencias.gov.co/,redcol@minciencias.gov.co,"0101,0102,0401,0503,0601,0702,0703,0707",x,x,,,,,,,,,,,x,,,,x,x,,,x,x,,,,x,0101,0102,,,,,,,,,,,0401,,,,0503,0601,,,0702,0703,,,,0707
 CO,Encuentro Red Colombiana de Información Científica,"Dar a conocer las acciones, avances y proyectos enmarcados en el acceso a la información científica con el fin de promover la implementación de la Ciencia Abierta como una forma de posibilitar la innovación, democratización y mundialización del conocimiento para su uso y apropiación en beneficio de la sociedad y la ciencia.",https://encuentrosredcol.minciencias.gov.co/,redcol@minciencias.gov.co,"0101,0102,0401,0503,0601,0704",x,x,,,,,,,,,,,x,,,,x,x,,,,,x,,,,0101,0102,,,,,,,,,,,0401,,,,0503,0601,,,,,0704,,,
 CO,"Directrices para repositorios institucionales de investigación del Ministerio de Ciencia, Tecnología e Innovación","Consolidar una oferta de la producción científica del país para lograr dar visibilidad y acceso a la información científica nacional, facilitando la inclusión en redes internacionales a través de la estandarización e interoperabilidad de los diferentes repositorios de las instituciones miembros",https://redcol.readthedocs.io/es/latest/,redcol@minciencias.gov.co,"0101,0104,0401,0503,0601,0702",x,,,x,,,,,,,,,x,,,,x,x,,,x,,,,,,0101,,,0104,,,,,,,,,0401,,,,0503,0601,,,0702,,,,,
 CO,"Directrices de Metadatos para Repositorios de Datos de Investigación del Ministerio de Ciencia, Tecnología e Innovación","Consolidar una red de colaboración e intercambio de todos los datos de investigación que se encuentren publicados en los repositorios de datos de investigación nacionales, que a su vez, permitan implementar una infraestructura de productos y servicios derivados y desarrollados en el marco de la Ciencia Abierta.",https://datacite-redcol.readthedocs.io/en/master/,redcol@minciencias.gov.co,"0102,0401,0503,0601,0702",,x,,,,,,,,,,,x,,,,x,x,,,x,,,,,,,0102,,,,,,,,,,,0401,,,,0503,0601,,,0702,,,,,
 CO,Repositorio de Datos de Investigación de Minciencias el Software libre Dataverse ,Infraestructura basada en Softaware libre Dataverse para gestionar los datos de investigación financiados con recursos publicos  ,https://redcol-dataverse.metadatos.org/,redcol@minciencias.gov.co,"0102,0401,0503,0601,0703",,x,,,,,,,,,,,x,,,,x,x,,,,x,,,,,,0102,,,,,,,,,,,0401,,,,0503,0601,,,,0703,,,,
 CO,Política Nacional de Ciencia Abierta 2022-2031,"Se proponen componentes fundamentales el Conocimiento científico abierto, Infraestructuras abiertas, Apropiación Social de la Ciencia, Tecnología e Innovación y la Comunicación abierta que deben estar acompañados de estrategias de formación, propiedad intelectual, incentivos, métricas alternativas y evaluación abierta con un cambio cultural centrado en la apertura del proceso científico, apoyado en principios y valores tales como apertura, participación, diálogo de saberes y conocimientos, universalidad, integralidad, colaboración y transparencia.","https://minciencias.gov.co/sala_de_prensa/politica-nacional-ciencia-abierta-2022-2031-una-realidad-en-colombia#:~:text=El%20ministro%20de%20Ciencia%2C%20Tecnolog%C3%ADa,de%20innovaci%C3%B3n%20en%20el%20pa%C3%ADs.          https://minciencias.gov.co/pdf/pdfreader?url=https://minciencias.gov.co/sites/default/files/politica_nacional_de_ciencia_abierta_-2022_-_version_aprobada.pdf",redcol@minciencias.gov.co,"0101,0102,0103,0104,0105,0201,0202,0203,0301,0302,0303,0401,0501,0502,0503,0601,0701,0702",x,x,x,x,x,x,x,x,,x,x,x,x,,x,x,x,x,,x,x,,,,,,0101,0102,0103,0104,0105,0201,0202,0203,,0301,0302,0303,0401,,0501,0502,0503,0601,,0701,0702,,,,,
 CO,Repositorio de productos de investigación de Minciencias,"Dispone de una gran colección digital colombiana especializada en ciencia tecnología e innovación, el cual reúne, conserva, difunde y facilita el acceso a los documentos institucionales de políticas, programas, proyectos, indicadores, bases de datos, producción editorial, literatura gris (no publicada convencionalmente), textos digitales, multimedia, ilustraciones y recursos audiovisuales sobre ciencia, tecnología e innovación del país.",https://repositorio.minciencias.gov.co/,cendoc@minciencias.gov.co,"0101,0401,0503,0601,0703",x,,,,,,,,,,,,x,,,,x,x,,,,x,,,,,0101,,,,,,,,,,,,0401,,,,0503,0601,,,,0703,,,,
 CO,Portal de documentos y guías Red Colombiana de Información Cientítica,Repositorio de documentos definidos para la estrategia de la Red Colombiana de Información Cientifica,https://red-documentacion.minciencias.gov.co/,redcol@minciencias.gov.co,"0103,0401,0601,0704",,,x,,,,,,,,,,x,,,,,x,,,,,x,,,,,,0103,,,,,,,,,,0401,,,,,0601,,,,,0704,,,
 CO,ScienTI,"Plataforma fuentes de información y conocimiento para la gestión en ciencia, tecnología e innovación que incluye CVLAC, GrupLAC e Institulac a se utiliza para acceder a ayudas públicas y servicios de acreditación y evaluación",https://minciencias.gov.co/scienti,atencionalciudadano@minciencias.gov.co,"0401,0501,0601,0703",,,,,,,,,,,,,x,,x,,,x,,,,x,,,,,,,,,,,,,,,,,0401,,0501,,,0601,,,,0703,,,,
 CO,Publindex,Sistema para la evaluación y clasificación de revistas científicas nacionales,https://minciencias.gov.co/content/publindex,atencionalciudadano@minciencias.gov.co,"0501,0703",,,,,,,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,0501,,,,,,,0703,,,,
 CO,Comité Consultivo Nacional,"Conformado por el Minciencias, la Organización Panamericana de la Salud-Representación Colombia y la Universidad Nacional de Colombia, entre otros.",https://www.bvscolombia.org/ccn/,bvscolombia@fucsalud.edu.co,"0501,0601,0701,0704",,,,,,,,,,,,,,,x,,,x,,x,,,x,,,,,,,,,,,,,,,,,,0501,,,0601,,0701,,,0704,,,
 CO,Lineamientos para fomentar la cultura de gestión y apertura de las publicaciones científica,"establecer la hoja de ruta, para una adecuada gestión de las publicaciones
científicas en entornos digitales, así como su apertura e integración en el marco de la Política Nacional de Ciencia
Abierta 2022 - 2031",https://www.minciencias.gov.co/sites/default/files/upload/noticias/lineamientos_para_fomentar_la_cultura_de_gestion_y_apertura_de_las_publicaciones_cientificas_.pdf,redcol@minciencias.gov.co,"0101,0503,0601,0702",x,,,,,,,,,,,,,,,,x,x,,,x,,,,,,0101,,,,,,,,,,,,,,,,0503,0601,,,0702,,,,,
 CO,Lineamientos para fomentar la cultura de gestión de apertura de Datos de Investigación,"fomentar e impulsar una cultura de gestión y apertura de Datos de Investigación; con base en condiciones normativas y funcionales para la investigación de la ciencia colombiana, de manera que los datos generen integridad y cumplan con estándares internacionales de ser encontrables, accesibles, interoperables, usables y reproductibles.",https://minciencias.gov.co/sites/default/files/upload/noticias/lineamientos_para_fomentar_la_cultura_de_gestion_y_apertura_de_datos_de_investigacion.pdf,redcol@minciencias.gov.co,"0102,0503,0601,0702",,x,,,,,,,,,,,,,,,x,x,,,x,,,,,,,0102,,,,,,,,,,,,,,,0503,0601,,,0702,,,,,
 CO,Lineamientos para Fomentar una Cultura de Preservación Digital del Patrimonio del Conocimiento Científico Colombiano,"Establecer los lineamientos para fomentar la Preservación Digital del Patrimonio del Conocimiento Científico Colombiano, con el propósito de potenciar el acceso, la visibilidad, la gestión y apropiación a largo plazo de la información científica nacional; siguiendo las Directrices mencionadas por la UNESCO (2008), sobre la preservación de patrimonio digital.",en proceso,redcol@minciencias.gov.co,"0101,0102,0601,0702",x,x,,,,,,,,,,,,,,,,x,,,x,,,,,,0101,0102,,,,,,,,,,,,,,,,0601,,,0702,,,,,
 CO,Política Pública Integral de Conocimientos Ancestrales y Tradicionales (en proceso),"Generar capacidades y condiciones para garantizar el reconocimiento,
salvaguarda, protección y apropiación social de los sistemas vivos de
conocimiento ancestral y tradicional de las comunidades INARPRCL* de
Colombia.",en proceso,atencionalciudadano@minciencias.gov.co,"0203,0301,0302,0303,0601,0701,0702",,,,,,,,x,,x,x,x,,,,,,x,,x,x,,,,,,,,,,,,,0203,,0301,0302,0303,,,,,,0601,,0701,0702,,,,,
 CO,"Política Pública de Apropiación Social del
Conocimiento en el marco de la CTeI"," Promover la Apropiación Social del Conocimiento como un mecanismo que permita posicionar la gestión, generación y uso de la CTeI como un tema de interés para la sociedad colombiana; una herramienta para posibilitar la transformación, el bienestar y el desarrollo de los territorios desde
el respeto, el reconocimiento de la diversidad y la equidad.",https://minciencias.gov.co/sites/default/files/politica_publica_de_apropiacion_social_del_conocimiento.pdf,abonilla@minciencias.gov.co ,"0201,0203,0601,0701,0702",,,,,,x,,x,,,,,,,,,,x,,x,x,,,,,,,,,,,0201,,0203,,,,,,,,,,0601,,0701,0702,,,,,
 CO,Datos Abiertos en Colombia,"Los datos abiertos son información pública dispuesta en formatos que permiten su uso y reutilización bajo licencia abierta y sin restricciones legales para su aprovechamiento. En Colombia, la Ley 1712 de 2014 de la Ley de Transparencia y del Derecho de Acceso a la Información Pública Nacional.",https://www.datos.gov.co/,minticresponde@mintic.gov.co,"0102,0601,0702,0703",,x,,,,,,,,,,,,,,,,x,,,x,x,,,,,,0102,,,,,,,,,,,,,,,,0601,,,0702,0703,,,,
 CO,LA Referencia ,"País socio del Proyecto LA Referencia, ha generado iniciativas nacionales en el tema de Repositorios y Acceso Abierto. Es signatario de los principales acuerdos de LA Referencia.",https://www.lareferencia.info/es/nodos/colombia,redcol@minciencias.gov.co  y atencionalciudadano@minciencias.gov.co,"0101,0401,0701,0703,0705",x,,,,,,,,,,,,x,,,,,,,x,,x,,x,,,0101,,,,,,,,,,,,0401,,,,,,,0701,,0703,,0705,,
 CO,Todo es Ciencia,"Iniciativas de conformación de comunicación científica, apoyadas en plataformas para socializar el conocimiento",https://divulgacion.minciencias.gov.co/,atencionalciudadano@minciencias.gov.co,"0203,0401,0601,0706",,,,,,,,x,,,,,x,,,,,x,,,,,,,x,,,,,,,,,0203,,,,,0401,,,,,0601,,,,,,,0706,
 CO," Política de ética, bioética e integridad científica para Colombia","Contar con lineamientos mínimos que orienten a todos los actores del Sistema Nacional de Ciencia, Tecnología e Innovación (SNCTeI) para generar, transferir y aplicar conocimiento pertinente para el país",https://minciencias.gov.co/sites/default/files/upload/noticias/politica-etica.pdf,atencionalciudadano@minciencias.gov.co,,,,,,,,,,,,,,,,,,x,x,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR,Evaluación de Revistas Científicas,"Es una herramienta para la medición de la calidad de las revistas Costarricenses por medio de indicadores organizados en categorías. Su propósito es Medir la calidad de las revistas en aspectos de rigurosidad, sistematicidad, originalidad y posibilidad de comprobación del contenido de los artículos, considerando para ello la gestión editorial, la visibilidad y el contenido.",https://conocimientoabierto.conare.ac.cr/index.php/evaluacion-de-revistas/ ,conocimientoabierto@conare.ac.cr,"0101,0501,0706",x,,,,,,,,,,,,,,x,,,,,,,,,,x,,0101,,,,,,,,,,,,,,0501,,,,,,,,,,0706,
CR,RDA Costa Rica Node,"El propósito del Grupo Costa Rica es el de ser un puente entre la comunidad de RDA y aquellas personas que forman parte de universidades, instituciones, grupos de trabajo o de algún proyecto que busquen generar, vincular, compartir y reutilizar datos de investigación desde la práctica de datos abiertos,en Costa Rica y en la región. Además, por su contexto geográfico y político, Costa Rica puede servir de puente entre países del Caribe, Norte, Sur y Centroamérica, para mejorar la comunicación, facilitar el intercambio de recursos y capacidades técnicas.",https://www.rd-alliance.org/groups/rda-costa-rica,conocimientoabierto@conare.ac.cr,"0102,0401,0503,0701,0702,0703,0705",,x,,,,,,,,,,,x,,,,x,,,x,x,x,,x,,,,0102,,,,,,,,,,,0401,,,,0503,,,0701,0702,0703,,0705,,
CR,Evaluación de Repositorios,Es un instrumento para autoevaluar los repositorios que integran Kímuk.,https://conocimientoabierto.conare.ac.cr/index.php/evaluacion-de-repositorios/,conocimientoabierto@conare.ac.cr,"0101,0102,0103,0401,0701,0702,0705",x,x,x,,,,,,,,,,x,,,,,,,x,x,,,x,,,0101,0102,0103,,,,,,,,,,0401,,,,,,,0701,0702,,,0705,,
CR,Procesos de capacitación en Ciencia Abierta,"En temas como: gestión editorial, ciencia abierta, gestión de datos de investigación, revisión por pares abierta, escritura científica, uso de licencias de acceso abierto, sistemas CRIS, entre otros.
",https://conocimientoabierto.conare.ac.cr/index.php/evaluacion-de-revistas/ ,conocimientoabierto@conare.ac.cr,"0101,0102,0103,0104,0105,0201,0202,0203,0204,0301,0302,0303,0401,0402,0501,0502,0503,0703",x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,x,,,,,0101,0102,0103,0104,0105,0201,0202,0203,0204,0301,0302,0303,0401,0402,0501,0502,0503,,,,,0703,,,,
CR,Estado de la gestión de datos de investigación,"Es un estado que permite analizar las prácticas y percepciones de las personas investigadoras, sobre gestión de datos de investigación en cada universidad perteneciente a CONARE.",https://conocimientoabierto.conare.ac.cr/,conocimientoabierto@conare.ac.cr,"0102,0401,0705",,x,,,,,,,,,,,x,,,,,,,,,,,x,,,,0102,,,,,,,,,,,0401,,,,,,,,,,,0705,,
CR,LATINDEX Costa Rica,"El Directorio Latindex es una lista de la totalidad de las revistas de cada uno de los países miembros del sistema. Todas las revistas tienen derecho a ser incluidas; el único requisito es que la revista tenga ISSN. El Catálogo Latindex contiene las revistas que han cumplido con los requisitos de calificación, y por ende se consideran revistas con procesos reconocidos de gestión editorial y de contenidos.",https://ucrindex.ucr.ac.cr/sistema-de-evaluacion-de-revistas/evaluacion-latindex-para-revistas-en-costa-rica/,revistas@ucr.ac.cr,"0101,0701,0702,0705",x,,,,,,,,,,,,,,,,,,,x,x,,,x,,,0101,,,,,,,,,,,,,,,,,,,0701,0702,,,0705,,
CR,SciELO Costa Rica,"Es un índice enfocado en orientar y fortalecer el desarrollo de la calidad científica de la Colección SciELO, y contribuir al aumento sostenible de su visibilidad e impacto como un todo e individualmente de las revistas que indexa y publica, de acuerdo con los estándares internacionales de indexación, publicación, interoperabilidad y evaluación del rendimiento de las revistas de calidad.",https://www.scielo.sa.cr/scielo.php,mmorales@.binasss.sa.cr,"0101,0104,0702",x,,,x,,,,,,,,,,,,,,,,,x,,,,,,0101,,,0104,,,,,,,,,,,,,,,,,0702,,,,,
